date,AAPL,ABBV,AMD,BAC,C,CL,COP,COST,CVX,GOOGL,GS,HD,JNJ,JPM,KO,LOW,MA,META,MRK,MS,MSFT,NVDA,PEP,PFE,PG,SLB,T,TGT,V,VZ,WFC,WMT,XOM
2016-01-04,23.7083102515,37.3529311125,2.77,13.0574512126,37.7774074259,50.5554652329,33.9316156777,133.9803912207,56.8449274914,37.659111859,143.0195930511,101.8037743587,75.3609712197,48.3905206071,30.7485109125,62.0440993564,89.0121994504,101.4318025901,36.5055204518,23.5018691602,47.7708305982,0.7887292017,71.6896903962,19.0241844471,58.6292319545,51.226479247,14.0587517403,53.5528455176,70.2905010188,26.3023629202,39.4766065418,17.0082511502,49.2889037108
2016-01-05,23.1141959747,37.1973209152,2.75,13.0574512126,37.5779178894,50.7820312183,34.3079902543,134.3079100409,57.3311643501,37.7627507821,140.5570788883,101.3066780316,75.6759752794,48.4741885931,30.8572910219,62.1759677929,89.1811921294,101.9378700849,36.9715779728,23.3525561413,47.9887632196,0.8013995504,72.1832510874,19.1611347577,58.81625898,51.463433184,14.1569788267,54.4921136443,70.8197689921,26.663611855,39.4616843696,17.4122870545,49.708871132
2016-01-06,22.6618589685,37.2038046734,2.505,12.7792949177,37.0311687891,50.1101458822,32.8242058657,133.0650181078,55.0663242452,37.6536571788,137.1257066942,100.2581154667,75.2934703498,47.7744199832,30.6904948542,60.9397012011,87.8198622148,102.1760194943,36.4637839573,22.770235368,47.1170327342,0.7682617155,72.2050258238,18.821736162,58.2476968225,50.1305672886,14.1365148504,53.9387463759,69.891228688,26.4256462868,38.7081146737,17.5866313146,49.2952668535
2016-01-07,21.7054250001,37.0935807837,2.275,12.3183502006,35.1397124423,49.227319801,31.8905073967,130.0165737043,53.1149789571,36.7447091113,132.9111742581,97.399811586,74.4159590408,45.8424501256,30.1828543438,59.3984888499,86.2111641496,97.1649590063,36.1438041668,21.6354564251,45.4781794217,0.7378041467,70.8187009412,18.696694574,57.7389833131,49.0124408985,13.9082387738,53.7931234105,68.516989038,26.2805142224,37.6038739313,17.9962019573,48.506237153
2016-01-08,21.8201970763,36.0821145011,2.14,12.0799305193,34.0831567486,48.8679392724,31.3331835044,127.7407377998,52.5455700041,36.2443661762,132.362154707,96.2347420695,73.6209487951,44.8156157524,30.1030822636,58.4177173537,84.5648357203,96.579508375,35.5316689153,21.1875173687,45.6176562994,0.7219662109,70.5574041046,18.4585201209,56.8337725097,48.1905069297,13.9206901962,51.9728363433,67.6720173613,26.0250817891,36.9771426991,17.5838639454,47.5263131701
2016-01-11,22.1735150364,34.934489296,2.34,12.1673510691,34.6151288462,49.0710673973,29.7625434443,129.9325945196,51.6754619412,36.3514762594,133.807367937,97.6949625302,73.1784430923,44.7471601276,30.1538463147,59.9012372639,85.213959501,96.758120432,35.6499223162,21.2472425762,45.5915043848,0.7231845137,70.7243437502,18.5002006502,57.3574481811,48.0053866664,14.0908596351,52.7300757632,68.6376992775,26.1760191361,37.3725802623,17.7720450515,46.8899988955
2016-01-12,22.4953269363,35.5569300852,2.39,12.1673510691,34.6372943502,49.516386748,29.1328398257,131.0537166349,52.5583657109,36.9599210378,133.7912203032,99.0231417791,73.6809495683,44.8460404746,30.5454547084,60.3875021234,86.0230123291,98.6037783543,36.0046825187,21.2472425762,46.0099350178,0.7353675412,70.8549921685,18.4585201209,57.2377508848,47.9387433717,14.0701072645,53.4145037005,69.4176731329,26.0831346148,38.3201381967,17.606002899,47.8508334502
2016-01-13,21.9169656896,33.5534487949,2.25,11.841510838,33.3886376213,49.1491935992,28.2280932472,127.7491357182,52.0337417318,35.6820382392,128.365615328,94.2929595418,72.7659377761,43.6138392268,30.3496505115,57.6100231803,83.9063043486,94.7040817766,35.2395134544,20.0751353785,45.0161622645,0.7129507706,70.0420686771,18.0833953571,56.7439995374,47.3537633398,14.0036996786,52.1621461982,67.8762962282,25.6303225739,37.1039811628,17.1355501337,48.1371748737
2016-01-14,22.3963078902,35.7693662807,2.21,11.9130367424,33.5290191471,49.6335760508,29.8566370884,128.6393150757,54.6824530409,36.2681684169,130.3033313906,92.9104103822,74.1684558511,44.2679707534,30.3714065334,57.6182649576,85.3362581843,97.6114891488,36.0325068484,20.269242303,46.297606078,0.6985747981,69.5412497404,18.5240180955,56.968431968,47.8943145085,14.2361262292,51.2665649612,68.526274441,26.0483029194,37.7829399977,17.4510302234,50.3451854066
2016-01-15,21.858454435,37.591925633,2.03,11.4918286387,31.3789652529,49.4929488874,28.4886602618,126.2962958235,53.5308394283,35.2317791855,125.6366652066,92.6074923078,72.7509375827,43.3856538106,30.0958302563,57.0907912118,83.4547399794,94.23770585,35.5734054097,19.388295492,44.449537449,0.6605637522,68.1766995942,18.3453872556,56.0931454887,46.65771115,14.1074615315,51.0262870683,66.697050042,25.792870486,36.4250223279,17.138317503,49.3652614237
